#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
0.0 1000000.0 500.0 500.0 0.0 0.0
0.0001 24.2424 20.0 30.0 0.0 5.0
0.0002 23.2873 20.0 30.0 0.0 5.0
0.0003 22.7286 20.0 30.0 0.0 5.0
0.0004 22.3322 20.0 30.0 0.0 5.0
0.0005 22.0247 20.0 30.0 0.0 5.0
0.0006 21.7735 20.0 30.0 0.0 5.0
0.0007 21.5611 20.0 30.0 0.0 5.0
0.0008 21.3771 20.0 30.0 0.0 5.0
0.0009 21.2148 20.0 30.0 0.0 5.0
0.001 21.069591 20.0 30.0 0.35321758 3.5924078
0.002 20.035177 19.0 26.0 0.19911641 3.2877423
0.003 19.515264 15.0 28.0 0.61927843 4.2308276
0.004 19.027387 15.0 23.0 0.50622286 5.0159189
0.005 18.803783 17.0 27.0 0.81589978 4.445862
0.006 18.442502 17.0 24.0 0.71314804 4.0104706
0.007 18.215008 17.0 24.0 0.28451504 4.1774431
0.008 18.139993 15.0 24.0 0.39927101 4.5110104
0.009 18.007894 18.0 23.0 0.46976514 3.8458891
0.01 17.89678 16.0 24.0 0.79726527 3.8866927
0.02 17.077215 13.0 28.0 0.19689923 4.7154395
0.03 16.662073 13.0 26.0 0.10058614 4.5908431
0.04 16.296033 12.0 26.0 0.13741145 4.8303487
0.05 16.060317 11.0 25.0 0.28041291 5.6887832
0.06 15.787845 12.0 26.0 0.29150583 5.1298452
0.07 15.616164 13.0 26.0 0.40305784 4.6998216
0.08 15.470049 13.0 27.0 0.25007219 5.0431023
0.09 15.299298 12.0 24.0 0.25989137 4.7783523
0.1 15.170322 13.0 26.0 0.2155828 4.5410411
0.2 14.351909 9.0 27.0 0.10057357 6.307082
0.3 13.842288 9.0 29.0 0.048362823 6.0978835
0.4 13.475713 10.0 27.0 0.058838754 5.6658984
0.5 13.172352 9.0 26.0 0.12278589 6.1033482
0.6 12.928281 8.0 25.0 0.04863814 5.7120867
0.7 12.719265 10.0 24.0 0.08165383 5.5023022
0.8 12.533204 8.0 25.0 0.084010004 5.6912532
0.9 12.374414 7.0 26.0 0.1437469 5.6562702
1.0 12.228092 8.0 25.0 0.056336131 6.6714725
2.0 11.215854 7.0 26.0 0.05469231 6.6833043
3.0 10.590952 7.0 25.0 0.010955199 6.7741101
4.0 10.121407 6.0 25.0 0.04091506 7.1418305
5.0 9.7443863 4.0 24.0 0.034289074 7.1518375
6.0 9.4203878 6.0 26.0 0.057315055 7.2216554
7.0 9.1356166 4.0 26.0 0.026449452 7.2259011
8.0 8.8831718 4.0 24.0 0.041700757 7.0553491
9.0 8.6523513 5.0 23.0 0.018171655 7.0718092
10.0 8.4388489 4.0 24.0 0.042856426 6.9047115
11.0 8.2424694 3.0 23.0 0.03385327 7.1315161
12.0 8.0607489 4.0 23.0 0.020012074 7.9406502
13.0 7.8864896 4.0 23.0 0.019738034 7.4781332
14.0 7.7201751 2.0 22.0 0.076289156 8.4307027
15.0 7.561219 3.0 21.0 0.038664999 8.1795728
16.0 7.4125985 3.0 21.0 0.0097359032 8.4312469
17.0 7.2701085 3.0 22.0 0.047821788 8.4738021
18.0 7.1292249 4.0 21.0 0.029112992 8.0455313
19.0 6.9944694 3.0 23.0 0.032943197 8.5709805
20.0 6.8630926 3.0 20.0 0.02940074 7.8414357
21.0 6.7322359 2.0 20.0 0.019732448 7.885745
22.0 6.6066684 3.0 20.0 0.098280311 7.8944797
23.0 6.4830931 3.0 20.0 0.0016178094 7.9126183
24.0 6.3625423 3.0 22.0 0.069606006 7.7389362
25.0 6.2461591 2.0 20.0 0.10296663 8.0189285
26.0 6.1331427 3.0 19.0 0.078082317 8.2382022
27.0 6.022011 2.0 20.0 0.050159917 8.8143695
28.0 5.9107238 3.0 19.0 0.13805092 8.0978489
