#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
0.0 1000000.0 500.0 500.0 0.0 0.0
0.001 9.7853105 2.0 2.0 3.0242712 11.014427
0.002 9.0301579 2.0 2.0 4.1574723 11.908097
0.003 8.6611725 2.0 2.0 5.6567386 12.267262
0.004 8.4221005 2.0 2.0 1.8674674 12.394792
0.005 8.2248108 2.0 2.0 2.716292 12.383538
0.006 8.0506793 2.0 2.0 0.95434999 12.408473
0.007 7.954255 2.0 2.0 4.5816489 11.489946
0.008 7.8627743 2.0 2.0 5.3640423 12.19976
0.009 7.6960135 2.0 2.0 4.872023 12.620911
0.01 7.6390255 2.0 2.0 5.4226533 12.254354
0.02 7.1303998 2.0 2.0 1.6977676 12.747791
0.03 6.7735271 2.0 2.0 0.85765074 12.487424
0.04 6.514943 2.0 2.0 1.8974121 12.628171
0.05 6.347599 2.0 2.0 1.3249208 12.747393
0.06 6.1905114 2.0 2.0 1.1133522 12.723183
0.07 6.0921794 2.0 2.0 2.0822507 12.622537
0.08 5.9775694 2.0 2.0 0.62358156 12.75702
0.09 5.8993788 2.0 2.0 1.5372671 12.742216
0.1 5.8116234 2.0 2.0 0.81754533 12.718021
0.2 5.2455533 2.0 2.0 0.32362594 12.772472
0.3 4.9394781 2.0 2.0 0.070249221 12.764643
0.4 4.7088814 2.0 2.0 0.32172068 12.771301
0.5 4.5423605 2.0 2.0 0.49581025 12.768667
0.6 4.3940161 2.0 2.0 0.55326879 12.749541
0.7 4.265732 2.0 2.0 0.23308481 12.760492
0.8 4.1569779 2.0 2.0 0.77539786 12.771112
0.9 4.0662581 2.0 2.0 0.17402071 12.769591
1.0 3.9848799 2.0 2.0 0.17031441 12.772592
2.0 3.4380821 2.0 2.0 0.130884 12.772645
3.0 3.1177867 2.0 2.0 0.057058822 12.773854
4.0 2.887404 2.0 2.0 0.052579203 12.773819
5.0 2.7073691 2.0 2.0 0.094855683 12.77384
6.0 2.5605481 2.0 2.0 0.055938208 12.773787
7.0 2.4353429 2.0 2.0 0.13585912 12.772276
8.0 2.3253296 2.0 2.0 0.13210027 12.772472
9.0 2.2284126 2.0 2.0 0.19023209 12.772535
10.0 2.1431713 2.0 2.0 0.064190861 12.77387
11.0 2.0647085 2.0 2.0 0.092738799 12.773786
12.0 1.9927874 2.0 2.0 0.063927746 12.771647
13.0 1.9257794 2.0 2.0 0.077525411 12.773477
14.0 1.863987 2.0 2.0 0.099504555 12.772221
15.0 1.8079717 2.0 2.0 0.20103534 12.773227
16.0 1.7543066 2.0 2.0 0.13335189 12.773505
17.0 1.7040906 2.0 2.0 0.071144689 12.77387
18.0 1.6563478 2.0 2.0 0.15404189 12.773689
19.0 1.6107204 2.0 2.0 0.1527346 12.772947
20.0 1.5668654 2.0 2.0 0.012715541 12.773878
21.0 1.5257556 2.0 2.0 0.13573085 12.773768
22.0 1.4860832 2.0 2.0 0.042264721 12.773885
23.0 1.4478873 2.0 2.0 0.21334016 12.773205
24.0 1.4121639 2.0 2.0 0.058099771 12.773653
25.0 1.3775827 2.0 2.0 0.14315843 12.773894
26.0 1.3438485 2.0 2.0 0.21537946 12.773727
27.0 1.3115309 2.0 2.0 0.13377045 12.772456
28.0 1.279749 2.0 2.0 0.17810476 12.773297
29.0 1.2491284 2.0 2.0 0.10999935 12.772219
30.0 1.2191263 2.0 2.0 0.091436692 12.773864
31.0 1.1907509 2.0 2.0 0.10552126 12.770998
32.0 1.1629383 2.0 2.0 0.092470901 12.77358
33.0 1.135988 2.0 2.0 0.13366595 12.773611
34.0 1.1102113 2.0 2.0 0.06034777 12.773369
35.0 1.0849398 2.0 2.0 0.08537221 12.773675
36.0 1.0602586 2.0 2.0 0.089424485 12.772696
37.0 1.0354863 2.0 2.0 0.17457 12.773615
38.0 1.0119027 2.0 2.0 0.057475134 12.773314
39.0 0.98898192 2.0 2.0 0.1483567 12.772941
40.0 0.96661689 2.0 2.0 0.035495406 12.773867
41.0 0.94449394 2.0 2.0 0.1059482 12.773634
42.0 0.92314563 2.0 2.0 0.12865484 12.772721
43.0 0.90218563 2.0 2.0 0.12021601 12.773865
44.0 0.88116465 2.0 2.0 0.05320674 12.773485
45.0 0.86081253 2.0 2.0 0.18089256 12.773771
46.0 0.84135682 2.0 2.0 0.16083125 12.773623
47.0 0.82166683 2.0 2.0 0.080815867 12.773459
48.0 0.80232152 2.0 2.0 0.099877026 12.773403
49.0 0.78338105 2.0 2.0 0.13877829 12.771678
50.0 0.76449717 2.0 2.0 0.10570877 12.773682
51.0 0.74645676 2.0 2.0 0.083658899 12.772782
52.0 0.72815356 2.0 2.0 0.17205085 12.773544
53.0 0.71050166 2.0 2.0 0.10779572 12.77329
54.0 0.69306103 2.0 2.0 0.053082779 12.773627
55.0 0.67592257 2.0 2.0 0.14512859 12.773629
56.0 0.65893229 2.0 2.0 0.23860027 12.773431
57.0 0.64220855 2.0 2.0 0.06149049 12.773497
58.0 0.62565792 2.0 2.0 0.11747926 12.773819
59.0 0.60936044 2.0 2.0 0.10866528 12.773853
60.0 0.5932073 2.0 2.0 0.077958569 12.773737
61.0 0.57719453 2.0 2.0 0.058924142 12.773098
62.0 0.56146244 2.0 2.0 0.076898824 12.773747
63.0 0.54613415 2.0 2.0 0.13506888 12.773389
64.0 0.53099907 2.0 2.0 0.21051901 12.773893
65.0 0.51606965 2.0 2.0 0.13407467 12.773688
66.0 0.50089289 2.0 2.0 0.19201967 12.773823
67.0 0.48596537 2.0 2.0 0.1003245 12.773837
68.0 0.47133362 2.0 2.0 0.10294886 12.770974
69.0 0.45660728 2.0 2.0 0.086074129 12.773158
70.0 0.44199775 2.0 2.0 0.029463692 12.773109
71.0 0.42769839 2.0 2.0 0.18983056 12.772651
72.0 0.41335176 2.0 2.0 0.081501009 12.773453
73.0 0.39954771 2.0 2.0 0.16643037 12.773798
74.0 0.3856803 2.0 2.0 0.046921961 12.77298
75.0 0.37188214 2.0 2.0 0.16002169 12.773723
76.0 0.35783667 2.0 2.0 0.040969862 12.772335
77.0 0.3439456 2.0 2.0 0.11170605 12.773299
78.0 0.33038618 2.0 2.0 0.094024951 12.77294
79.0 0.31698073 2.0 2.0 0.1022196 12.773793
80.0 0.30329773 2.0 2.0 0.11549536 12.773725
81.0 0.28956734 2.0 2.0 0.1781598 12.771858
82.0 0.27608488 2.0 2.0 0.10398087 12.771812
83.0 0.26264991 2.0 2.0 0.26480237 12.773654
84.0 0.24913783 2.0 2.0 0.066489643 12.773704
85.0 0.2358375 2.0 2.0 0.050892672 12.773669
86.0 0.22227568 2.0 2.0 0.039782026 12.773827
87.0 0.20880681 2.0 2.0 0.050007876 12.771221
88.0 0.19508107 2.0 2.0 0.084730917 12.773255
89.0 0.18140854 2.0 2.0 0.094240756 12.773047
90.0 0.16763854 2.0 2.0 0.10574233 12.773817
91.0 0.15365119 2.0 2.0 0.16679428 12.773831
92.0 0.13967445 2.0 2.0 0.3521575 12.772725
93.0 0.12537552 2.0 2.0 0.09953297 12.771121
94.0 0.11105925 2.0 2.0 0.12537955 12.773888
95.0 0.096128906 2.0 2.0 0.19349052 12.77369
96.0 0.080771183 2.0 2.0 0.091749271 12.773344
97.0 0.064626379 2.0 2.0 0.060330373 12.773554
98.0 0.047269588 2.0 2.0 0.10496529 12.773877
99.0 0.02774485 2.0 2.0 0.078030641 12.770784
100.0 3.1733279e-05 2.0 2.0 0.10258726 12.773654
