#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
0.0 1000000.0 500.0 500.0 0.0 0.0
0.001 7.0600271 2.0 2.0 0.61305297 1.5918849
0.002 6.7578481 2.0 2.0 0.14251024 1.8020365
0.003 6.355447 2.0 2.0 0.35484978 1.6341662
0.004 6.0817464 2.0 2.0 0.29936948 1.8149257
0.005 6.0060319 2.0 2.0 0.25723234 1.3662003
0.006 5.9534364 2.0 2.0 0.184782 1.6925906
0.007 5.8367149 2.0 2.0 0.37112474 1.9552078
0.008 5.7635953 2.0 2.0 0.33685101 1.5919305
0.009 5.683196 2.0 2.0 0.44188221 1.6900996
0.01 5.6004596 2.0 2.0 0.73560012 1.8450548
0.02 5.0986625 2.0 2.0 0.10005032 2.2097719
0.03 4.8357477 2.0 2.0 0.046103828 2.0642043
0.04 4.6640427 2.0 2.0 0.097229398 2.3014826
0.05 4.522404 2.0 2.0 0.017562563 2.1522857
0.06 4.4320142 2.0 2.0 0.1191668 1.7873408
0.07 4.3369497 2.0 2.0 0.078707721 2.5637123
0.08 4.2557328 2.0 2.0 0.069276953 2.269661
0.09 4.1924056 2.0 2.0 0.051518876 2.124127
0.1 4.1225407 2.0 2.0 0.086686785 2.2585121
0.2 3.7281983 2.0 2.0 0.021049285 2.3334991
0.3 3.4862979 2.0 2.0 0.0045607014 2.3937901
0.4 3.3314287 2.0 2.0 0.014099469 2.8819055
0.5 3.2066903 2.0 2.0 0.070261437 2.4411085
0.6 3.1089561 2.0 2.0 0.010756913 3.0250407
0.7 3.024561 2.0 2.0 0.034724846 2.5126979
0.8 2.9554938 2.0 2.0 0.037687335 2.7628903
0.9 2.8952694 2.0 2.0 0.025662719 2.9612808
1.0 2.8410866 2.0 2.0 0.062534555 2.713908
2.0 2.4980163 2.0 2.0 0.014944024 2.9909271
3.0 2.3033094 2.0 2.0 0.0082350731 2.7757381
4.0 2.1663025 2.0 2.0 0.0044230004 2.7268641
5.0 2.0587725 2.0 2.0 0.021151838 2.8897809
6.0 1.9721713 2.0 2.0 0.011776056 2.7774771
7.0 1.8998428 2.0 2.0 0.015552569 2.9138908
8.0 1.8358554 2.0 2.0 0.028664188 3.0656729
9.0 1.7799599 2.0 2.0 0.011371098 2.7802862
10.0 1.7297431 2.0 2.0 0.0093383398 2.9459471
11.0 1.6848083 2.0 2.0 0.013665875 2.7622026
12.0 1.6427795 2.0 2.0 0.011143962 2.7663741
13.0 1.6041667 2.0 2.0 0.0042045391 3.0296553
14.0 1.5680217 2.0 2.0 0.02199575 2.751158
15.0 1.5344508 2.0 2.0 0.017526563 2.859853
16.0 1.5032833 2.0 2.0 0.0067469625 2.9851426
17.0 1.4736125 2.0 2.0 0.013592696 3.0614107
18.0 1.4459192 2.0 2.0 0.013246776 2.6776537
19.0 1.4187204 2.0 2.0 0.0092425495 2.8381648
